,experiment,d,repetitions,m,n,approx_type,kernel_type,l_minus_l_plus,function_type,perturbation_or_Qi,power
0,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",uniform,1,1.0
1,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",uniform,2,0.98
2,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",uniform,3,0.302
3,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",uniform,4,0.044
4,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",increasing,1,1.0
5,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",increasing,2,0.992
6,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",increasing,3,0.476
7,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",increasing,4,0.046
8,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",decreasing,1,1.0
9,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",decreasing,2,0.956
10,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",decreasing,3,0.186
11,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",decreasing,4,0.016
12,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",centred,1,1.0
13,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",centred,2,0.974
14,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",centred,3,0.252
15,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",centred,4,0.034
16,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",ost,1,0.3
17,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",ost,2,0.054
18,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",ost,3,0.056
19,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-6, -2)",ost,4,0.04
20,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",uniform,1,1.0
21,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",uniform,2,0.974
22,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",uniform,3,0.346
23,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",uniform,4,0.038
24,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",increasing,1,1.0
25,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",increasing,2,0.988
26,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",increasing,3,0.268
27,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",increasing,4,0.04
28,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",decreasing,1,1.0
29,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",decreasing,2,0.968
30,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",decreasing,3,0.272
31,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",decreasing,4,0.016
32,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",centred,1,1.0
33,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",centred,2,0.996
34,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",centred,3,0.45
35,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",centred,4,0.064
36,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",ost,1,0.63
37,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",ost,2,0.056
38,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",ost,3,0.072
39,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-4, 0)",ost,4,0.072
40,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-2, 2)",uniform,1,1.0
41,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-2, 2)",uniform,2,0.996
42,1: uniform alternative,1.0,500,500,500,wild bootstrap,gaussian,"(-2, 2)",uniform,3,0.384
